IDN,MAY_21,JUN,JUL,AUG,SEP,NOV,DECE,JAN,FEB,MAR,APR,MAY
L1720323450,412659.39720774,385224.85222200,419298.89603515,420159.22397419,378588.43260000,622731.97222800,666189.13592903,610993.32448000,546949.26984500,237844.66500000,244977.55350000,241531.39650000
A2787328640,36507.39840000,36788.41320000,36915.21240000,36658.51200000,36782.13000000,73414.24200440,95919.37015500,96399.25192800,97067.78858700,99147.73815000,102121.14838500,100684.58611500
A1792285230,355970.50831050,346967.14430740,318771.49323050,301416.97614528,287165.38278500,287052.01787780,286805.06776700,304160.87594720,314129.60413340,315931.86683000,318508.30735700,317263.53554300
F1796212560,162780.83897600,162707.42346800,163328.77835600,162185.43504000,162665.88918000,163478.13663600,162863.19482000,163716.15286400,165561.55443600,168588.75060000,169953.60910000,166848.02090000
F1782482250,67853.47718400,68092.59523200,68200.48982400,67982.06112000,48676.24880000,48614.15830400,37827.87030193,31256.49945600,31473.26582400,32147.66880000,33111.76752000,32645.97648000
H2797852520,3003471.33898838,3006442.76993760,3016805.12332320,2995826.91321600,3005929.29084000,2999966.02938720,2986975.87120800,3001919.62318080,3022738.18012320,3087508.82184000,3180102.26373600,3135367.01546400
F2736188040,124682.99867040,125642.74298170,126075.79779190,125199.09397200,125621.28409250,26280.42165000,26166.62475000,26297.53560000,26479.91115000,27047.31750000,27858.45825000,27466.56675000
Q2721066080,195503.12392000,193958.71064000,194766.42620000,193394.61324000,193893.98552000,196118.46204000,195482.89732000,196548.61440000,199543.94912000,202623.33660000,200214.57328000,195754.83272000
R2735339770,25884.85175040,26084.09975920,26174.00423440,25991.99587200,26079.64478000,26027.90712240,25915.20363600,26044.85663360,26225.47983440,26787.43428000,27590.78121200,27202.65518800
Q2779489910,1113321.32447040,1121891.08794420,1125757.92752940,1117929.65047200,1121699.47690500,1119474.21256740,1114626.77531100,1120203.22011360,1127971.92062940,1152141.88203000,1186694.26343700,1170000.75546300
A1773378780,2629934.78480252,2572842.40850805,4131334.87221647,6737709.59611004,7409832.34309324,2131744.23528130,2715539.49104005,2923086.82879920,2371456.07885725,2051243.76005515,1005668.52773600,991521.55146400
S1798297060,142036.17312154,458319.52744900,585331.55914945,712199.90484000,714601.54972500,713183.89965300,710095.74079500,713648.32879200,718597.53804300,733995.50535000,756007.80526500,745372.86523500
D2725234090,143551.51564800,144781.91494900,148930.50917800,147894.87864000,148393.60235000,148099.21423800,147457.92957000,148195.65723200,331909.93442090,442689.31292997,383099.30799928,306049.92581850
A1711421910,42734.95211040,43063.90335170,43212.33238190,42911.84317200,43056.54834250,42971.13134490,42785.06197350,42999.11437360,43297.31673190,44225.08315500,45551.37982450,44910.59782550
N1797799420,290213.90415360,304052.89069680,351681.16074960,349235.64604800,350413.32102000,349718.15954160,348203.84432400,349945.89786240,352372.80114960,359923.37652000,382717.36810800,393244.33497585
R2722507130,548458.53290322,624288.22400000,626439.96800000,622083.84000000,624181.60000000,622943.32800000,620245.92000000,623348.99200000,627671.96800000,641121.60000000,660348.64000000,651059.36000000
F1702218280,22819.88971200,22995.54525100,23074.80435700,22914.34716000,22991.61777500,22946.00624700,22846.64770500,25890.43772000,57342.31764800,66326.31924000,68315.42519600,67354.41600400
T2752678930,74181.37412160,74752.38342180,75010.03363260,74488.43008800,74739.61624500,74591.34533460,74268.35721900,74639.91961440,75157.55353260,76768.01487000,79070.26407300,77957.96402700
F1730384790,74181.37412160,74752.38342180,75010.03363260,74488.43008800,74739.61624500,74591.34533460,74268.35721900,74639.91961440,75157.55353260,76768.01487000,79070.26407300,77957.96402700
L1734684020,16801.70040000,16931.03107500,16989.38752500,16871.24700000,16928.13937500,86590.79119020,120913.06556700,121517.99005920,122360.72721180,124982.64891000,128730.84018900,126919.95311100
F2750262810,59490.46512000,59948.39151000,60155.01657000,59736.71160000,59938.15275000,59819.24547000,59560.22205000,59858.20008000,60273.32157000,61564.84650000,63411.15735000,62519.13765000
F1728746370,554049.55353600,558314.33632800,560238.68709600,556342.90848000,558218.98020000,557111.56701600,554699.21724000,557474.36102400,561340.49109600,573368.78520000,590563.93908000,582256.33692000
A1773345370,1353584.07890136,1352437.38466620,1357098.85178340,1347661.87999200,1352206.39795500,1349523.84640140,1343680.27082100,1350402.66348960,1359767.81588340,1388904.65433000,1430557.47860700,1410433.48929300
D2721283440,571182.78250993,827485.67990900,390196.95252751,139482.86100000,139953.21812500,139675.57432500,139070.76487500,139766.53180000,140735.82407500,143751.48375000,148062.54662500,145979.71587500
F2749935250,7010.00000000,7010.00000000,7010.00000000,7010.00000000,7010.00000000,7010.00000000,7010.00000000,7010.00000000,7010.00000000,4974.83870967,6399.99999999,35741.93548385
N1727939490,621749.90090322,596139.51390000,1193871.52830000,1185569.60400000,1189567.52250000,1322989.79782500,1507068.51656854,1560390.01580000,1571211.44757500,1996088.80004032,2220790.80012500,2189550.41237500
A1772163800,98804.87384530,177241.83689590,177852.73911130,176615.98964400,177211.56524750,176860.00711230,176352.24980062,208514.57530396,273308.70376862,280904.04647531,215024.75607803,338887.12059843
A2737229610,10786.27680000,10869.30390000,63662.54813333,220327.37718000,221070.35413750,136035.63859158,98918.14842000,99413.03299200,100102.47046800,132028.13581548,87236.37905532,71365.40670400
T1753114810,93641.47689600,163632.81811286,116128.56439622,4856.98408258,12589.51995000,52527.47133600,52300.02204000,52561.67750400,52926.19701600,54060.28920000,55681.54068000,63492.04197904
U1723239850,732949.68448000,727159.61216000,730187.77280000,725044.78656000,726916.95488000,735256.61376000,732873.85408000,736869.27360000,748098.91328000,759643.67040000,750613.11232000,733893.35168000
P1725255050,376358.08896000,379255.09608000,380562.28056000,377915.93280000,379190.32200000,378438.07176000,376799.39640000,378684.51264000,381310.72056000,389481.37200000,401161.79880000,395518.56120000
A2523690400,186017.75379612,198804.72925500,637232.62686241,991526.11180000,994615.20387500,1107952.85120500,1103482.07807500,1108625.21212000,1115790.25535500,1138082.11975000,1169949.65102500,1154553.29147500
A1779647640,295267.41312000,297540.22676000,298565.76332000,296489.60160000,297489.40900000,296899.23972000,295613.63580000,297092.58208000,299152.94332000,305563.13400000,314726.87860000,310299.54140000
A1740771050,641645.18400000,646584.23200000,648812.82400000,644301.12000000,646473.80000000,645191.30400000,642397.56000000,645611.45600000,650088.82400000,664018.80000000,683932.52000000,674311.48000000
Q1722408540,913122.12092902,968464.26749333,965109.07570000,958397.91600000,961629.77750000,959722.06470000,955566.37050000,960347.04080000,967007.12570000,987727.96500000,1017349.62350000,1003038.32650000
A2927136700,4698188.29253295,3635389.18740900,3647919.34026300,3622552.49844000,3634768.28872500,3627557.51577300,3611849.82259500,3629919.80047200,3655093.58976300,3733414.21935000,3845378.16586500,3791284.32463500
A2734075140,50236.12511844,577897.10595446,250273.77321772,2736689.61193548,1384206.29375000,60486.68475000,304893.20789516,260313.73480000,60945.82725000,62251.76250000,64118.67375000,63216.70125000
Q2779741850,29973.18968036,33101.48957710,57248.35857389,69976.37823600,70212.34907750,79648.31027940,79303.42499100,109411.86860240,172054.41359260,189011.52034500,194679.91782550,191941.30952450
F1712542250,1468480.36400000,1469081.77825000,1469353.14775000,1468803.77000000,1469068.33125000,1468912.16525000,1468571.97875000,1468963.32600000,1469508.52275000,1471204.73750000,1473629.57625000,1472458.04875000
R2770752600,157699.11390966,332210.51920000,567909.68988387,619862.11200000,621952.38000000,620718.53040000,618030.75600000,621122.74560000,625430.28240000,638831.88000000,657990.25200000,648734.14800000
W1222659890,742796.45731870,619608.06584000,622188.34220000,617806.03644000,619401.29912000,769784.43468000,891958.18792000,896700.85920000,908133.84692000,923771.21460000,924367.99468000,906115.19132000
U2727916740,2069507.30311819,2118007.88645950,2125308.05741650,2110529.12502000,2117646.14573750,2113445.08962150,2104293.65732250,2179497.42491600,2235743.73210650,2283650.81092500,2352136.79780750,2613954.39781356
A2725246650,703813.13490720,709230.71917810,711675.23580670,706726.40019600,700474.70393250,509360.73612720,507155.15230800,509692.43454080,513227.19306320,655957.28677548,680152.02403600,670584.16516400
P1793923100,557484.56784000,561775.79157000,563712.07299000,559792.14120000,561679.84425000,560565.56529000,558138.25935000,560930.60856000,564820.70799000,576923.57550000,594225.33645000,585866.22855000
P2727912810,692778.00000000,692778.00000000,692778.00000000,692778.00000000,692778.00000000,692778.00000000,692778.00000000,692778.00000000,692778.00000000,692778.00000000,692778.00000000,692778.00000000
U2724725350,25016.97132480,25209.53884540,25296.42895780,25120.52306400,25205.23323500,25155.23026380,33224.54813118,63908.29884320,69018.90767502,72508.03697370,80971.12480100,79832.08489900
M1721590930,151111.71868000,149917.98356000,150542.29730000,149481.97146000,149867.95508000,151587.33666000,151096.08478000,151919.81760000,208212.81222300,306717.79350000,309357.50046000,303735.54654000
A1765797420,3233015.62117160,3672825.11384132,4455382.86745483,4308176.95296772,4073534.51522499,3406674.23345080,3568535.77409903,2904605.58147200,2411952.82974800,2463635.68260000,2537519.36054000,2501823.47746000
L2799356020,220587.65769600,222285.62575800,223051.78110600,221500.72728000,222247.66095000,221806.75872600,220846.31289000,221951.20046400,223490.45010600,228279.35970000,235125.38763000,231817.82337000
U1721098890,456342.48000000,459855.16500000,461440.15500000,458231.40000000,459776.62500000,458864.50500000,456877.57500000,459163.32000000,462347.65500000,472254.75000000,486417.52500000,479574.97500000
F1722680530,47570.24640000,47936.41720000,48101.64040000,47767.15200000,47928.23000000,47833.14840000,47626.02600000,47864.29760000,48196.24040000,49228.98000000,50705.34200000,49992.05800000
R1720119060,3885443.69174400,3915351.79886200,3928846.90323400,4183877.72154580,4947592.17155000,4969335.72933000,5473606.55803500,5500990.84981600,5539140.66913900,5961709.52587258,6249365.59784500,6161454.29865500
T2799262760,277595.21825046,432820.97659990,434312.78743930,431292.67028400,432747.05384750,431888.55600030,430018.43460450,368584.11351440,282487.97235890,288541.06930500,297194.32740950,293013.62474050
D2726098830,2436.78854833,13593.87607760,31742.24724028,31824.58730400,31931.90458500,31868.55702180,30738.02654119,28797.05374560,28996.76365740,29618.10063000,30506.33837700,30077.19852300
A1704058130,916.00000000,916.00000000,916.00000000,916.00000000,916.00000000,916.00000000,916.00000000,916.00000000,916.00000000,916.00000000,916.00000000,916.00000000
O1221309340,262051.21200000,264068.34475000,264978.51325000,263135.91000000,264023.24375000,263499.46575000,262358.48625000,263671.05800000,265499.63825000,271188.71250000,279321.57875000,275392.29625000
A2701840290,303830.05747200,306168.78185600,307224.05859200,305087.68896000,306116.49040000,401766.46509450,414771.46079250,416846.55014800,419737.41490450,428731.46602500,441588.99109750,435377.05465250
A1735582930,205369.00000000,205369.00000000,205369.00000000,205369.00000000,152734.60000000,130177.00000000,130177.00000000,130177.00000000,130177.00000000,130177.00000000,130177.00000000,130177.00000000
L1729384190,330408.45656000,327798.33352000,329163.40660000,326844.98532000,327688.94536000,331448.40372000,330374.27276000,340562.47597419,361523.33444571,396635.46218709,445037.66970666,473608.04850838
T1725990500,1852473.89760000,1866733.26980000,1873167.36860000,1860141.76800000,1866414.44500000,1862711.79060000,1854646.05900000,1863924.79840000,1876851.26860000,1917068.07000000,1974560.35300000,1946783.74700000
E2773567380,97373.58219870,107629.33361833,92455.82742000,91812.90960000,18963.23146666,16407.88230000,16336.83450000,16418.56720000,16532.43130000,16886.68500000,17393.11150000,17148.43850000
A1757725390,7589763.67032000,7648185.68923500,7674546.81064500,7621179.67260000,7828282.21087500,9362416.43529500,8210602.27942500,8867712.57988000,9866957.30234500,10211965.16025000,10518218.86097500,10370256.59652500
F2711098070,141727.52858400,142818.47274450,143310.72741150,142314.17562000,142794.08036250,142510.80076650,141893.71449750,162505.17015600,243879.98169150,249105.79417500,256576.40048250,252967.07976750
E2770235790,7270.00000000,7270.00000000,7270.00000000,7270.00000000,7270.00000000,7270.00000000,7270.00000000,25990.72142080,153361.77139480,156492.19726000,160967.32515400,158805.22864600
J2727196620,313346.31932160,315758.29489680,316846.62395760,314643.34108800,315704.36562000,315078.06090960,313713.74084400,315283.24141440,79367.43908940,18188.50161290,27593.13960000,136024.90200000
F1780906450,56930.00000000,56930.00000000,56930.00000000,56930.00000000,56930.00000000,56930.00000000,56930.00000000,56930.00000000,56930.00000000,56930.00000000,56930.00000000,56930.00000000
K2729970290,124457.04000000,125415.04500000,125847.31500000,124972.20000000,125393.62500000,125144.86500000,124602.97500000,125226.36000000,126094.81500000,128796.75000000,132659.32500000,130793.17500000
P2220537350,553963.81646400,558227.93929700,560151.99227900,556256.81652000,558132.59792500,557025.35610900,554613.37963500,557388.09397600,561253.62577900,573280.05855000,590472.55154500,582166.23495500
P1727532390,468664.68500000,471969.28000000,473144.89000000,737755.07274193,1924596.54929166,2341407.47955000,2461310.46885000,2474720.32580000,2489030.02185000,2576891.13577741,3530746.54148333,3898777.13405000
J2799639220,273888.33445687,228617.13462980,207544.95614351,195781.44852000,170285.47159166,134452.86195900,124456.22038500,125078.87117600,125946.30332900,128645.05605000,132503.08179500,130639.12970500
L2732751710,2226887.69102400,1569914.87629900,1527008.94735400,1516390.45752000,1521503.95355000,1518485.54393400,1291572.98591322,1244889.15880000,1253522.56645000,1280382.80250000,1318781.08975000,1300229.48525000
F1765041440,142157.59680000,143251.85140000,143745.59980000,142746.02400000,143227.38500000,142943.24580000,142324.28700000,143036.33120000,144028.29980000,147114.51000000,151526.42900000,149394.87100000
H2795102640,258616.19769600,260606.88950800,261505.12735600,259686.67728000,260562.37970000,260045.46747600,258919.44414000,260214.81046400,156820.31855600,16909.58220000,17416.69538000,17171.69062000
R1732035680,309904.94388000,312290.42955250,367310.64850362,449573.60370000,451089.63331250,362070.51391650,466575.83988750,563454.48076400,585669.78512350,598219.40257500,616159.81884250,895370.16806181
E1795041050,263807.88520257,714531.31638000,493554.22467290,432070.55280000,433527.55950000,432667.51326000,430794.01890000,432949.26864000,435951.80706000,445293.29700000,458647.50630000,452195.60370000
C1720275820,1155952.56238080,1164850.47875840,1168865.38714880,1160737.35014400,1164651.53056000,1162341.05652480,1157308.00147200,1163097.97918720,1171164.15834880,1196259.63456000,1232135.09382400,1214802.35897600
F1753688170,294663.93684000,292336.18428000,293553.57990000,291485.97198000,292238.63004000,295591.37958000,294633.45114000,296239.70880000,300754.30224000,305395.58070000,301765.07256000,295043.31444000
E2794719090,371385.00000000,371385.00000000,371385.00000000,371385.00000000,371385.00000000,371385.00000000,371385.00000000,371385.00000000,371385.00000000,371385.00000000,371385.00000000,371385.00000000
K2790212710,72202.36400000,71631.98800000,71930.29000000,71423.65800000,71608.08400000,72429.61800000,72194.89400000,72588.48000000,73694.70400000,74831.97000000,73942.37600000,72295.32400000
P2770553670,549433.02706560,553662.27425880,555570.59069160,551707.27300800,553567.71267000,273220.44076350,266535.18690411,280271.00144400,373256.06398850,381254.12182500,392687.81591750,387163.78383250
F2227813820,3345128.66400000,3381150.59518600,3691744.96856000,3666073.37280000,3574080.56075000,1189577.02874400,1288782.41520000,1295230.15552000,1479253.30110250,2875338.97185483,3105554.79825000,3061868.22675000
S1776672990,7412.10816000,7469.16268000,7494.90676000,7442.78879999,7467.88700000,7453.07196000,7420.79940000,7457.92544000,7509.64676000,7670.56200000,7900.59980000,7789.46020000
F1778419540,1057854.19354838,1078058.00000000,1078058.00000000,1078058.00000000,1078058.00000000,1078058.00000000,1078058.00000000,1078058.00000000,1078058.00000000,1078058.00000000,1078058.00000000,1078058.00000000
D2797847530,99078.92200000,99777.53600000,100026.06800000,99208.47000000,99472.01400000,99107.55600000,98705.56800000,99271.85400000,99771.69800000,101623.73400000,104429.58800000,102956.46600000
F1590537560,94019.65664000,93276.93088000,117651.45233548,160126.67808000,160540.14784000,162381.96768000,161855.73344000,162738.12480000,165218.19904000,167767.86720000,165773.46176000,162080.89024000
J2729107490,260861.95584000,262869.93432000,263775.97224000,261941.73120000,262825.03800000,262303.63704000,261167.83560000,262474.45056000,264294.73224000,269957.98800000,278053.94520000,274142.49480000
H1737774150,433427.75313135,478767.75378600,652800.78558200,648261.35016000,672576.10851666,772405.78696740,821704.56377100,861298.84291360,1191520.74516200,1485420.65478774,1741563.46949970,2072262.64059813
A1746883910,293646.00000000,293646.00000000,293646.00000000,346560.93548386,286438.83333333,315134.70000000,353300.80645161,325271.09677415,425037.53571427,362923.35964804,697449.85460588,522114.74873405
S2753890160,877785.30567219,828600.75900910,831456.71022370,825674.94015600,828459.23987750,969147.14163270,964950.63589050,969778.25539280,976503.74653370,997428.07756500,1027340.63946350,1002899.31070030
C1297872430,21333557.91637440,21337520.69442648,21269528.56563870,23050747.24797986,23928591.26469000,23881120.93784520,23827888.86238509,24064665.36290880,24291699.83914520,24798953.77634805,25990385.30596850,25624772.42848150
F2736969760,129623.39001600,130621.16286800,131071.37687600,130159.93488000,130598.85370000,130339.76739600,171041.74455290,173279.88854400,174481.59867600,178220.35620000,183565.12998000,180982.87602000
D1723642920,53201.23603200,77300.25973600,101337.85125200,201220.11324386,212712.17240000,290306.42283200,451716.24288000,474847.22588800,599331.45780200,646519.61490000,665908.53971000,656541.04729000
A2732171420,48796.51849254,31843.14004559,43146.05279600,42846.02448000,42990.50770000,42905.22171600,42719.43774000,42933.16182400,43230.90679600,44157.25020000,45481.51258000,44841.71342000
F2710374230,143678.73840000,116951.85196333,167765.74753612,184464.52152000,185086.56355000,184719.38273400,183919.52901000,184839.67297600,203543.65142650,207713.79634838,195811.05967000,193056.53933000
M1722103010,433214.18400000,429791.92800000,431581.74000000,428541.94800000,429648.50400000,434577.70800000,433169.36400000,435530.88000000,442168.22400000,448991.82000000,443654.25600000,433771.94400000
F1736815050,60569.68198560,60827.94523130,60944.47849910,60708.56110800,45877.86067758,54582.87146440,69576.83835000,69789.75896000,70086.38459000,75847.95517741,99014.12455000,131043.76025000
F2723943680,34571.40000000,34837.51250000,34957.58750000,34714.50000000,34831.56250000,34762.46250000,34611.93750000,34785.10000000,42204.90892856,72532.57357627,116121.87945716,139701.54925304
R1751482830,83013.00000000,83013.00000000,83013.00000000,83013.00000000,83013.00000000,83013.00000000,83013.00000000,83013.00000000,83013.00000000,117789.35483870,122626.00000000,545584.32258063
A2702064350,74962.96433280,75539.98990440,75800.35477080,75273.25550400,75527.08821000,75377.25508680,75050.86390200,75426.34115520,75949.42897080,77576.85846000,79903.36463400,78779.34516600
T1776834340,79620.81589347,142390.11069080,142880.88891560,173506.18858606,339063.80469500,499332.83174480,564244.68047206,665933.11788640,746963.10708360,790854.40482000,814571.88567800,803113.11092200
T2753135130,5676134.97349160,6135369.03142332,7041790.57041578,6441696.08036127,6117648.44599999,4749283.96511080,4869424.77512806,3881346.95211200,3402077.33819800,2594018.61766451,2537519.36054000,2501823.47746000
A1774628230,540840.51302400,545003.61955200,546882.09206400,543079.19232000,544910.53680000,543829.52534400,541474.68816000,544183.67001600,547957.62806400,559699.15680000,576484.36272000,568374.82128000
N2739960010,204439.00000000,204439.00000000,204439.00000000,204439.00000000,204439.00000000,265106.55872000,299362.62400000,311692.37516800,341236.01431873,422040.84092000,444002.66566800,472901.06873200
L2737537550,71314.16049120,71863.09948510,72110.79115570,71609.34831600,71850.82577750,71708.28574470,71397.78157050,65306.35465200,53953.16923150,55109.26717500,56761.97718250,55963.49306750
J2727356840,29265.38254560,29385.37373630,29439.51603410,29329.90690800,29382.69085750,29351.53339110,29283.66106650,29361.74073040,29470.51568410,29808.93604500,30292.72785550,30058.99049450
F2726442650,256104.93120000,258076.29260000,258965.80820000,257165.01600000,258032.21500000,257520.32220000,295706.52977419,334215.24080000,336533.05070000,346163.56983870,361052.99850000,361491.80633870
A2775164220,153330.00000000,153330.00000000,153330.00000000,153330.00000000,153330.00000000,153330.00000000,153330.00000000,153330.00000000,153330.00000000,153330.00000000,153330.00000000,153330.00000000
E2793270310,113255.90640000,114127.69095000,114521.05665000,113724.70200000,114108.19875000,113881.82715000,113388.70725000,113955.98760000,114746.28165000,117205.04250000,120719.98575000,181078.93165282
Q2791171210,1796016.79402835,3187470.37609184,5216729.71372476,3834763.80469160,3566083.23400000,2689001.61924000,2225906.65218870,2079230.65336000,1825548.69244000,1627332.62550000,1676135.83145000,1652557.23355000
T1754523760,99889.22030400,100658.11511700,101005.05501900,100302.68772000,100640.92342500,100441.26864900,123404.91069629,124806.15599200,125671.69684300,128364.56535000,132214.17926500,130354.29123500
A1702570920,557567.53920000,561859.40160000,563795.97120000,559875.45600000,561763.44000000,560648.99520000,558221.32800000,561014.09280000,564904.77120000,577009.44000000,594313.77600000,585953.42400000
C1225990780,167706.69111360,168997.60923780,169580.09594460,168400.87264800,168968.74564500,168633.53988660,167903.33949900,168743.35494240,169913.60384460,173554.47927000,178759.32483300,176244.67526700
A2772067860,58716.06576000,59168.03123000,59371.96661000,58959.10680000,59157.92575000,59040.56631000,58784.91465000,59079.01384000,59488.73161000,60763.44450000,62585.72155000,61705.31345000
T1720464390,557214.24179612,644689.07132000,646911.13124000,642412.65120000,644578.96300000,643300.22604000,640514.67060000,643719.14656000,648183.39124000,662072.53800000,681927.89020000,672335.04980000
C2721472320,996452.00631948,1012427.25083200,1710319.66805625,1887926.13336927,1670603.42375099,913461.00000000,913461.00000000,913461.00000000,913461.00000000,913461.00000000,913461.00000000,913461.00000000
U1722271510,3000797.52000000,3023896.08500000,3034318.59500000,3013218.60000000,3023379.62500000,3017381.74500000,3004316.17500000,3019346.68000000,3040286.09500000,3105432.75000000,3198563.72500000,3153568.77500000
H1720923540,92687.00000000,92687.00000000,92687.00000000,92686.99999999,92687.00000000,92687.00000000,92687.00000000,92687.00000000,92687.00000000,92687.00000000,92687.00000000,92687.00000000
P2725839320,124183.23451200,125139.13190100,125570.45090700,124697.26116000,125117.75902500,124869.54629700,124328.84845500,124950.86200800,125817.40640700,128513.39715000,132367.47448500,130505.43001500
L2798001120,26022.03106560,27755.18555880,81982.44399187,98611.39728000,98943.92970000,98747.64147600,98320.05414000,104650.65614139,114747.21535600,121790.51252256,130610.38471333,136978.72816838
R2771963760,1712446.28546956,1380281.29904683,363687.01264322,496431.06558693,899195.26059824,1387766.86886513,1546669.60866645,1415437.31733600,1418053.88316900,1458266.21606612,1413132.22062000,1427806.74821870
Q1724370830,113013.00000000,113013.00000000,113013.00000000,113013.00000000,113013.00000000,113013.00000000,113013.00000000,113013.00000000,113013.00000000,113013.00000000,113013.00000000,113013.00000000
A2761081470,7107.87984000,7162.59257000,7187.27999000,7137.30120000,7161.36925000,7147.16229000,7116.21435000,7151.81656000,7201.41499000,7355.72550000,7576.32145000,7469.74355000
F1786843710,181467.74193548,195561.00000000,195561.00000000,195561.00000000,195561.00000000,203096.26666666,227855.00000000,227855.00000000,249584.78571428,273390.00000000,273390.00000000,273390.00000000
B1292699420,542175.90583741,526854.66904000,528670.58727999,524994.32640000,526764.68600000,525719.67288000,523443.25320000,526062.02432000,529710.30728000,541060.83600000,557287.08440000,549447.59560000
A1254905670,68703494.30592000,69232337.76116000,69470961.94412000,68987875.90560000,69220513.36900000,77309380.56252000,78163228.07780000,80709429.84128000,87857699.18124857,94564226.53303225,96933967.61160000,95661478.90840000
A2925532640,277091.15385600,260609.11910880,117682.12469129,329343.40440000,330453.99975000,1160065.08858000,1223034.47193628,2034802.89922000,2908486.19014800,3077276.02622903,2974086.45919000,3343884.47068499
A2738244390,90192.06144000,89479.57248000,89852.19840000,89219.33568000,89449.71264000,90475.93728000,90182.73024000,90674.38080000,92056.22784000,93476.85120000,92365.60896000,90308.18304000
F1520967160,56686.03315200,57122.37249600,57319.25707200,56920.67136000,57112.61640000,56999.31451200,56752.50168000,57036.43276800,57431.98507200,58662.62640000,60421.90056000,59571.93144000
J1724686740,438588.39329032,445835.15646950,557601.48669500,553724.04660000,555591.28712500,554489.08684500,552088.09267500,554850.17308000,558698.10419500,570669.77775000,587783.98922500,579515.49327500
Q2778284730,57357.68160000,39854.11430000,39991.48010000,60814.96636645,133683.53687500,19863.73457200,26969.62170000,28015.58545031,84526.85714284,143570.25806449,134526.16666666,203839.83870964
E2726035010,119478.75840000,120398.44320000,120813.42240000,119973.31200000,120377.88000000,120139.07040000,119618.85600000,120217.30560000,121051.02240000,123644.88000000,127352.95200000,125561.44800000
A1709182570,30199.03225806,42950.00000000,48613.22580645,48802.00000000,48802.00000000,58434.26120920,96754.76269000,57923.63470245,60944.85714285,35785.87096774,25382.73333332,27419.35483870
R1229570940,645852.01184000,650405.96992000,652026.04096000,646696.47839999,648414.40608000,646038.66432000,643418.28096000,647109.65088000,650367.91456000,662440.52448000,680730.65536000,671128.01952000
F2790468600,519572.63382658,432589.93421700,434080.94871900,431062.44372000,432516.05092500,431658.01134900,429788.88823500,431939.10933600,434934.64221900,444254.33655000,457577.38774500,451140.53875500
Y2727849740,273473.60256000,275578.65888000,276528.50016000,274605.58080000,275531.59200000,274984.98336000,273794.27040000,275164.05504000,277072.34016000,283009.39200000,291496.75680000,287396.20320000
Q1770936840,74444.00000000,100046.86666666,129313.22580644,146631.64516129,59441.00000000,59441.00000000,59441.00000000,59441.00000000,111082.78571426,162677.70967740,354511.06666666,747487.03225804
A2706193990,121480.02760320,122415.11712360,141079.49511245,155017.18317600,155539.92436500,155231.35914420,134501.20205412,131553.52611395,187352.49854233,258629.67659160,295542.50597265,351187.86245513
A2733683410,1302694.02349222,1343776.10597706,1315790.29932973,899145.63068980,451928.09868500,447979.67612546,452251.18963683,464501.68270769,479993.68585135,503568.96424709,530677.23342732,537615.42977049
M2726274860,186107.43697547,232513.91942800,233315.32879600,231692.90448000,232474.20770000,232013.01771600,231008.37774000,232164.10582400,274106.51005100,431034.06570000,443960.64503000,437715.34597000
A1796680200,378922.61771612,478500.20169000,480149.45583000,476810.60040000,478418.47725000,477469.37493000,475401.88395000,477780.30552000,481093.75083000,491402.53350000,506139.54465000,499019.56035000
E2221906950,653264.49325440,658292.98060120,660561.92932840,655968.52459200,658180.54883000,656874.82859640,654030.49374600,657302.58896960,661861.03592840,676043.26458000,696317.59458200,686522.33081800
F2730546390,33569.00000000,33569.00000000,33569.00000000,33569.00000000,33569.00000000,33569.00000000,39214.80645161,39403.00000000,39403.00000000,39403.00000000,39403.00000000,39403.00000000
A1765456430,1037.14200000,1045.12537500,1048.72762500,1041.43500000,1044.94687500,1042.87387500,1038.35812500,3559.68203224,9622.21869642,13073.30625000,13105.49437500,13089.94312500
A2739992800,1728.57000000,1741.87562500,1747.87937500,1735.72500000,1741.57812500,1738.12312500,1730.59687500,2997.31951612,6037.03116071,9240.45665322,12042.49062500,15268.18477822
A2763297770,47855.73925161,83052.62980000,83338.88860000,82759.36800000,83038.44500000,82873.71060000,82514.85900000,82927.67840000,83502.78860000,85292.07000000,87849.95300000,86614.14700000
F1526597370,59234.63676000,59690.59391750,59896.33042250,59479.82430000,59680.39918750,59562.00324750,59304.09371250,59600.79034000,60014.12667250,61300.09762500,63138.46873750,62250.28501250
G2779113680,14838.59802240,14952.81776520,15004.35587640,14900.01883200,14950.26393000,14920.60510440,14855.99736600,14930.32148160,15033.86447640,15356.00718000,15816.52912200,15594.03427800
S2774727570,630734.72673120,635589.79175510,637780.48904570,633345.50151600,635481.23752750,160185.42720000,210754.99037419,266926.04568000,302577.11807400,363537.55181612,345321.06693000,418679.43538070
K1291010070,61853.21288160,62329.32646430,62544.15793010,62109.23938800,62318.68105750,62195.05120710,61925.74030650,62235.55295440,62667.16158010,64009.98124500,65929.62093550,65002.17341450
G1724226990,2200248.35304000,2217184.71054500,2224826.71581500,728421.74432901,699142.10408175,1593683.98091370,2478242.69144550,2490641.26636080,2507914.06628070,2561653.15771500,2638476.34964850,2601360.28080150
D2779285260,3527.11251360,3554.26237530,3566.51290710,3541.71214800,3553.65533250,3546.60547410,3531.24831150,3548.91504240,3573.52705710,3650.09989500,3759.56527050,3706.67857950
